monthyear,month,year,county,amount,sales_type
201401,1,2014,ADAMS,683098,medical
201401,1,2014,ARAPAHOE,1188232,medical
201401,1,2014,BOULDER,3417873,medical
201401,1,2014,CHAFFEE,83714,medical
201401,1,2014,CLEAR CREEK,143736,medical
201401,1,2014,CLEAR CREEK,459640,retail
201401,1,2014,DENVER,15351083,medical
201401,1,2014,DENVER,8482593,retail
201401,1,2014,EAGLE,203060,medical
201401,1,2014,EL PASO,4923633,medical
201401,1,2014,FREMONT,134388,medical
201401,1,2014,GARFIELD,396086,medical
201401,1,2014,GILPIN,28798,medical
201401,1,2014,GILPIN,197379,retail
201401,1,2014,GUNNISON,36244,medical
201401,1,2014,JEFFERSON,1979386,medical
201401,1,2014,JEFFERSON,853675,retail
201401,1,2014,LA PLATA,523193,medical
201401,1,2014,LARIMER,964948,medical
201401,1,2014,MONTEZUMA,100634,medical
201401,1,2014,PITKIN,194865,medical
201401,1,2014,PUEBLO,419894,medical
201401,1,2014,ROUTT,239509,medical
201401,1,2014,SAN MIGUEL,164384,medical
201401,1,2014,SAN MIGUEL,338934,retail
201401,1,2014,SUMMIT,271441,medical
201401,1,2014,SUMMIT,1274208,retail
201401,1,2014,WELD,657150,medical
201402,2,2014,ADAMS,454940,medical
201402,2,2014,ARAPAHOE,1210155,medical
201402,2,2014,BOULDER,3345413,medical
201402,2,2014,CLEAR CREEK,111164,medical
201402,2,2014,CLEAR CREEK,445976,retail
201402,2,2014,DENVER,14680476,medical
201402,2,2014,DENVER,8349069,retail
201402,2,2014,EAGLE,185360,medical
201402,2,2014,EL PASO,5116438,medical
201402,2,2014,FREMONT,215839,medical
201402,2,2014,GARFIELD,373432,medical
201402,2,2014,GILPIN,32325,medical
201402,2,2014,GILPIN,113337,retail
201402,2,2014,JEFFERSON,2044484,medical
201402,2,2014,JEFFERSON,880367,retail
201402,2,2014,LA PLATA,521985,medical
201402,2,2014,LARIMER,1009841,medical
201402,2,2014,MONTEZUMA,103266,medical
201402,2,2014,PITKIN,161237,medical
201402,2,2014,PUEBLO,418489,medical
201402,2,2014,PUEBLO,823156,retail
201402,2,2014,ROUTT,209165,medical
201402,2,2014,SAN MIGUEL,94099,medical
201402,2,2014,SAN MIGUEL,230470,retail
201402,2,2014,SUMMIT,244818,medical
201402,2,2014,SUMMIT,1063383,retail
201402,2,2014,WELD,671024,medical
201403,3,2014,ADAMS,477275,medical
201403,3,2014,ARAPAHOE,1490219,medical
201403,3,2014,BOULDER,3505875,medical
201403,3,2014,BOULDER,1396479,retail
201403,3,2014,CLEAR CREEK,106955,medical
201403,3,2014,CLEAR CREEK,524541,retail
201403,3,2014,DENVER,16102218,medical
201403,3,2014,DENVER,10746117,retail
