GEONAME,POP,state,county
"Adams County, Colorado",503167,08,001
"Alamosa County, Colorado",16551,08,003
"Arapahoe County, Colorado",643052,08,005
"Archuleta County, Colorado",13315,08,007
"Baca County, Colorado",3562,08,009
"Bent County, Colorado",5938,08,011
"Boulder County, Colorado",322514,08,013
"Broomfield County, Colorado",68341,08,014
"Chaffee County, Colorado",19638,08,015
"Cheyenne County, Colorado",1845,08,017
"Clear Creek County, Colorado",9574,08,019
"Conejos County, Colorado",8184,08,021
"Costilla County, Colorado",3776,08,023
"Crowley County, Colorado",5810,08,025
"Custer County, Colorado",4874,08,027
"Delta County, Colorado",30568,08,029
"Denver County, Colorado",704621,08,031
"Dolores County, Colorado",2067,08,033
"Douglas County, Colorado",335299,08,035
"Eagle County, Colorado",54772,08,037
"Elbert County, Colorado",25642,08,039
"El Paso County, Colorado",699232,08,041
"Fremont County, Colorado",47559,08,043
"Garfield County, Colorado",59118,08,045
"Gilpin County, Colorado",6013,08,047
"Grand County, Colorado",15321,08,049
"Gunnison County, Colorado",16939,08,051
"Hinsdale County, Colorado",794,08,053
"Huerfano County, Colorado",6662,08,055
"Jackson County, Colorado",1385,08,057
"Jefferson County, Colorado",574613,08,059
"Kiowa County, Colorado",1376,08,061
"Kit Carson County, Colorado",7158,08,063
"Lake County, Colorado",7778,08,065
"La Plata County, Colorado",55589,08,067
"Larimer County, Colorado",343976,08,069
"Las Animas County, Colorado",14238,08,071
"Lincoln County, Colorado",5546,08,073
"Logan County, Colorado",21896,08,075
"Mesa County, Colorado",151616,08,077
"Mineral County, Colorado",766,08,079
"Moffat County, Colorado",13131,08,081
"Montezuma County, Colorado",26140,08,083
"Montrose County, Colorado",41784,08,085
"Morgan County, Colorado",28192,08,087
"Otero County, Colorado",18326,08,089
"Ouray County, Colorado",4794,08,091
"Park County, Colorado",17905,08,093
"Phillips County, Colorado",4292,08,095
"Pitkin County, Colorado",17890,08,097
"Prowers County, Colorado",12070,08,099
"Pueblo County, Colorado",166475,08,101
"Rio Blanco County, Colorado",6420,08,103
"Rio Grande County, Colorado",11301,08,105
"Routt County, Colorado",25220,08,107
"Saguache County, Colorado",6626,08,109
"San Juan County, Colorado",715,08,111
"San Miguel County, Colorado",7967,08,113
"Sedgwick County, Colorado",2344,08,115
"Summit County, Colorado",30585,08,117
"Teller County, Colorado",24646,08,119
"Washington County, Colorado",4938,08,121
"Weld County, Colorado",304633,08,123
"Yuma County, Colorado",10075,08,125
